ID_annotation_event,approved,ID_approval_user,ID_annotation_user,Created,Last_Changed
4134,0,,10,2014-11-25 15:15:52,2014-11-25 15:15:52
4135,0,,10,2014-11-25 15:16:52,2014-11-25 15:16:52
4136,0,,10,2014-11-25 15:19:05,2014-11-25 15:19:05
4137,0,,10,2014-11-25 15:20:06,2014-11-25 15:20:06
4138,0,,10,2014-11-25 15:23:52,2014-11-25 15:23:52
4139,0,,10,2014-11-25 15:27:54,2014-11-25 15:27:54
4140,0,,10,2014-11-25 15:44:24,2014-11-25 15:44:24
4141,0,,10,2014-11-25 15:44:57,2014-11-25 15:44:57
4142,0,,10,2014-11-25 15:45:41,2014-11-25 15:45:41
4143,0,,10,2014-11-25 15:47:25,2014-11-25 15:47:25
4144,0,,10,2014-11-25 15:51:20,2014-11-25 15:51:20
4145,0,,10,2014-11-25 15:53:29,2014-11-25 15:53:29
4146,0,,10,2014-11-25 15:55:04,2014-11-25 15:55:04
4147,0,,10,2014-11-25 15:57:07,2014-11-25 15:57:07
4148,0,,10,2014-11-25 15:58:49,2014-11-25 15:58:49
4149,0,,10,2014-11-25 16:01:44,2014-11-25 16:01:44
4150,0,,10,2014-11-25 16:06:35,2014-11-25 16:06:35
4151,0,,10,2014-11-25 16:10:04,2014-11-25 16:10:04
4152,0,,10,2014-11-25 16:12:22,2014-11-25 16:12:22
4153,0,,10,2014-11-25 16:14:24,2014-11-25 16:14:24
4154,0,,10,2014-11-25 16:16:33,2014-11-25 16:16:33
4155,0,,10,2014-11-25 16:17:28,2014-11-25 16:17:28
4156,0,,10,2014-11-25 16:22:07,2014-11-25 16:22:07
4157,0,,10,2014-11-25 16:25:46,2014-11-25 16:25:46
4158,0,,10,2014-11-25 16:27:40,2014-11-25 16:27:40
4159,0,,10,2014-11-25 16:30:16,2014-11-25 16:30:16
4160,0,,10,2014-11-25 16:36:05,2014-11-25 16:36:05
4161,0,,10,2014-11-25 16:45:27,2014-11-25 16:45:27
4162,0,,10,2014-11-25 16:50:33,2014-11-25 16:50:33
4163,0,,10,2014-11-25 16:55:44,2014-11-25 16:55:44
4164,0,,10,2014-11-25 16:58:40,2014-11-25 16:58:40
4165,0,,10,2014-11-25 17:00:33,2014-11-25 17:00:33
4166,0,,10,2014-11-25 17:02:47,2014-11-25 17:02:47
4167,0,,10,2014-11-25 17:04:08,2014-11-25 17:04:08
4168,0,,10,2014-11-25 17:08:04,2014-11-25 17:08:04
4169,0,,10,2014-11-25 17:10:07,2014-11-25 17:10:07
4170,0,,10,2014-11-25 17:12:47,2014-11-25 17:12:47
4171,0,,10,2014-11-25 17:15:04,2014-11-25 17:15:04
4172,0,,10,2014-11-25 17:22:23,2014-11-25 17:22:23
4173,0,,9,2014-11-26 09:17:45,2014-11-26 09:17:45
4174,0,,9,2014-11-26 09:26:36,2014-11-26 09:26:36
4175,0,,9,2014-11-26 09:32:33,2014-11-26 09:32:33
4176,0,,9,2014-11-26 09:34:12,2014-11-26 09:34:12
4177,0,,9,2014-11-26 09:35:38,2014-11-26 09:35:38
4178,0,,9,2014-11-26 09:42:59,2014-11-26 09:42:59
4179,0,,9,2014-11-26 09:48:36,2014-11-26 09:48:36
4180,0,,9,2014-11-26 09:53:41,2014-11-26 09:53:41
4181,0,,9,2014-11-26 09:59:48,2014-11-26 09:59:48
4182,0,,9,2014-11-26 10:04:26,2014-11-26 10:04:26
4183,0,,9,2014-11-26 10:04:32,2014-11-26 10:04:32
4184,0,,9,2014-11-26 10:11:26,2014-11-26 10:11:26
4185,0,,9,2014-11-26 10:15:36,2014-11-26 10:15:36
4186,0,,9,2014-11-26 10:18:48,2014-11-26 10:18:48
4187,0,,9,2014-11-26 10:23:18,2014-11-26 10:23:18
