ID_kit_api_NH,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,ID_strains,ID_reference,manual_annotation,created_NH,modify_in_pgsql_NH,ID_tbl_api_NH,last_change
2611,+,+,+,+,-,+/-,-,+,+,-,+,+,-,11739,15688,1,2014-08-26 00:00:00,2016-01-18 08:02:53,164.0,2019-11-20 06:22:49
2610,+,+,+,+,-,-,+,-,+,-,-,-,-,11756,15671,1,2008-04-25 00:00:00,2016-01-18 08:02:53,163.0,2019-11-20 06:22:49
2609,+,+,-,+,-,-,-,-,-,-,-,+,-,11712,15589,1,2010-01-19 00:00:00,2016-01-18 08:02:53,162.0,2019-11-20 06:22:49
2608,+,-,-,-,-,-,+,+,+,-,-,-,+,11716,15437,1,2008-02-29 00:00:00,2016-01-18 08:02:53,160.0,2019-11-20 06:22:49
2607,-,-,-,+,-,-,+,+,-,-,-,-,+,11716,15437,1,2008-04-28 00:00:00,2016-01-18 08:02:53,159.0,2019-11-20 06:22:49
2606,-,-,-,-,-,+,-,+,-,-,-,-,-,11711,15433,1,2008-04-28 00:00:00,2016-01-18 08:02:53,158.0,2019-11-20 06:22:49
2605,+,-,-,-,-,-,+,-,-,-,-,-,-,8173,15473,1,2008-02-19 00:00:00,2016-01-18 08:02:53,157.0,2019-11-20 06:22:49
2604,+,+,-,+,-,-,-,+,+,-,-,-,+,11724,15472,1,2008-02-19 00:00:00,2016-01-18 08:02:53,156.0,2019-11-20 06:22:49
2603,+,+,+,+,-,-,-,+,-,-,+,-,-,6769,8370,1,2008-07-30 00:00:00,2016-01-18 08:02:53,155.0,2019-11-20 06:22:49
2602,+,+,+,+,-,+,+,+,+,-,-,-,-,11681,8309,1,2007-11-07 00:00:00,2016-01-18 08:02:53,154.0,2019-11-20 06:22:49
2601,+,+,+,+,-,+,-,+/-,-,-,-,-,-,11678,8307,1,2007-11-08 00:00:00,2016-01-18 08:02:53,153.0,2019-11-20 06:22:49
2600,+,+,+,+,-,+,+/-,+,+,-,-,-,-,11676,8301,1,2007-10-12 00:00:00,2016-01-18 08:02:53,152.0,2019-11-20 06:22:49
2599,+,+,+,+,-,-,+,+,+,-,+,-,+,11689,8234,1,2007-10-10 00:00:00,2016-01-18 08:02:53,151.0,2019-11-20 06:22:49
