ID_kit_api_zym,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,ID_strains,ID_reference,manual_annotation,created_zym,modify_in_pgsql_zym,ID_tbl_api_zym,last_change
4319,-,+,-,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154303,59775,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4320,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154304,59776,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4321,-,+,-,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154305,59777,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4322,-,+,-,+,-,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,154306,59779,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4323,-,+,+,+,-,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,154307,59780,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4324,-,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,154319,59792,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4325,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154354,59835,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4326,-,+,-,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154402,59891,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4327,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,+,+,-,-,-,154414,59911,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4328,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154418,59916,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4329,-,+,+,+,-,+,+,-,+,-,+,+,-,-,-,+,+,-,-,-,154420,59918,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4330,-,+,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154423,59921,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4331,-,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,154447,59963,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4332,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,154449,59965,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4333,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,154454,59978,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4334,-,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,154459,59985,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4335,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154485,60017,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4336,-,+,-,+,-,+,+,-,+,-,+,+,-,-,-,+,+,+,+,-,134188,60032,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4337,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154511,60093,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4338,-,+,-,+,-,+,+,-,-,-,+,+,-,-,-,+,-,-,-,-,154528,60110,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4339,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154529,60111,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4340,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,154532,60117,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4341,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154535,60120,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4342,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,1969,60127,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4343,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,154546,60154,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4344,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154553,60162,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154556,60165,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4346,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,141726,44851,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4347,-,+,-,+,-,-,-,-,+,-,+,+,-,-,-,+,-,-,-,-,154598,60223,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4348,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,154601,60230,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4349,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,154602,60231,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4350,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154605,60236,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4351,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154608,60240,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4352,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,154609,60242,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4353,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,154610,60243,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4354,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154611,60244,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4355,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,154612,60246,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4356,-,+,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,154626,60260,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4357,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,12950,60261,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4358,-,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,13077,60262,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4359,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12974,60263,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4360,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154631,60281,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4361,-,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,154643,60293,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4362,-,+,-,+,-,+,-,-,+,-,-,+,-,-,-,-,+,-,-,-,154673,60336,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4363,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,154675,60338,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4364,-,+,-,-,-,+,+,+,+,+,+,+,-,+,-,+,+,-,-,-,154683,60347,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4365,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154699,60365,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4366,-,+,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,154700,60366,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4367,-,+,+,+,+,+,-,-,-,-,+,+,-,+,-,-,+,+,-,-,154702,60370,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4368,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,154703,60371,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4369,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154711,60380,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4370,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154712,60383,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4371,-,+,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,13079,60391,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4372,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154717,60413,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4373,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,154773,60478,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4374,-,+,-,+,-,+,+,-,+,+,+,+,-,-,-,+,-,+,-,-,154777,60482,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4375,-,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,13160,44227,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4376,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,141276,44228,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4377,-,-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,141729,44854,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4378,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154818,60535,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4379,-,+,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,154819,60536,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4380,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,154836,60554,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4381,-,-,+,+,-,+,-,-,+,-,-,+,-,-,-,+,-,-,-,-,154849,60567,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4382,-,+,-,+,-,+,+,-,+,-,+,+,-,-,-,+,+,-,-,-,154868,60600,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4383,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,154872,60622,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4384,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,154877,60627,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4385,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,154883,60635,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4386,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154884,60636,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4387,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154887,60639,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4388,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154891,60643,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4389,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,17482,60653,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4390,-,+,+,-,-,+,-,-,-,+,+,+,-,-,-,-,-,-,-,-,17483,60656,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4391,-,+,+,+,-,+,+,-,+,-,+,+,-,-,-,+,+,+,-,-,5678,60658,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4392,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,154913,60691,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4393,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,154942,60737,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4394,-,-,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,141278,44232,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4395,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154947,60746,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4396,-,+,+,+,-,+,+,-,+,-,+,+,-,-,-,-,+,-,-,-,17534,44233,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4397,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154987,60807,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4398,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,155014,60856,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4399,-,-,-,-,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,155015,60857,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4400,-,-,+,+,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,136752,60874,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4401,-,-,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,155026,60875,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4402,-,+,-,+,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,155027,60876,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4403,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155028,60877,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4404,-,+,+,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,155033,60883,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4405,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,155054,60907,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4406,-,+,+,+,-,+,+,+,-,-,+,+,-,-,-,+,+,-,-,-,14161,60909,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4407,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155063,60926,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4408,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8096,60958,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4409,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155136,61020,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4410,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155148,61037,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4411,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,155166,61059,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4412,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,155171,61065,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4413,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,155173,61081,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4414,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155186,61104,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4415,-,+,-,+,-,+,+,-,+,+,+,+,-,-,-,+,-,+,-,-,155189,61107,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4416,-,+,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,155218,61138,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4417,-,+,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,155224,61155,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4418,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,155243,61177,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4419,-,+,-,+,-,+,+,+,+,+,+,+,-,-,-,+,+,-,-,-,155245,61179,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4420,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,155276,61223,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4421,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,17407,61234,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4422,-,+,-,+,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,155293,61250,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4423,-,+,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,155298,61255,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4424,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155307,61269,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4425,-,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,155308,61270,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4426,-,+,+,+,-,+,+,-,-,+,+,+,-,+,-,+,+,+,-,-,141280,44236,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4427,-,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,155343,61310,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4428,-,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,155361,61335,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4429,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155364,61338,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4430,-,-,+,+,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,155369,61345,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4431,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155378,61361,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4432,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,155380,61363,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4433,-,+,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,155401,61386,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4434,-,+,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,155404,61397,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4435,-,+,-,-,+,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,155416,61413,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4436,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155424,61424,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4437,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,22941,61434,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4438,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,155442,61452,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4439,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155452,61462,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4440,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155464,61474,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4441,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,155476,61486,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4442,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155478,61488,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4443,-,-,+,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,155484,61495,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4444,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,155485,61496,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4445,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,155493,61507,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4446,-,-,+,+,+,+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,155494,61508,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4447,-,-,-,+,-,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,155495,61509,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4448,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,155496,61510,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4449,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,155499,61514,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4450,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,155527,61553,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4451,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155531,61558,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4452,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,155543,61584,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4453,-,-,+,+,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,155556,61607,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4454,-,-,+,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,155560,61612,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4455,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155574,61626,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4456,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,155576,61629,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4457,-,-,-,+,-,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,155588,61645,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4458,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155598,61656,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4459,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,155601,61662,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4460,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155608,61670,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4461,-,+,-,+,+,+,-,-,-,-,+,+,-,-,-,-,+,+,-,-,155612,61674,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4462,-,+,-,+,-,+,+,-,+,-,+,+,-,-,-,+,+,-,-,-,155613,61675,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4463,-,+,-,+,+,+,-,-,-,-,+,+,-,-,+,+,+,-,-,-,155656,61742,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4464,-,+,+,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,155667,61759,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4465,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,155668,61761,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4466,-,+,-,-,-,+,+,+,-,+,+,+,-,-,-,-,-,-,-,-,155679,61785,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4467,-,+,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,155692,61799,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4468,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155697,61804,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
4469,-,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,13162,61805,1,2019-11-19 10:27:50,2019-11-19 09:27:50,,2019-11-19 09:27:50
